battery_power,mobile_wt,px_height,px_width,ram
1068,197,322,875,1209
1373,141,1220,1348,2752
1777,188,511,616,3868
594,132,1011,1263,3087
1524,124,629,635,947
511,175,140,622,1484
1402,87,1081,1767,347
965,131,297,653,3227
1270,104,1512,1716,3299
919,159,275,570,1028
1963,157,1136,1813,714
1977,173,1145,1356,2641
1881,158,477,1553,1229
683,173,954,1985,2622
772,100,741,1471,929
536,135,547,705,1211
1694,186,1194,1208,1653
1633,111,146,906,511
1371,167,471,663,3034
551,172,169,1916,1414
1221,139,1895,1976,2438
1000,179,1537,1761,3744
1986,162,236,1520,1377
1119,164,821,915,3520
1699,97,466,1768,3796
1099,146,393,1096,1699
1576,90,400,631,336
950,156,774,843,1095
1081,99,284,519,325
606,146,465,1152,1223
502,199,705,1810,1649
957,160,38,1682,1898
1658,159,51,739,2609
1681,167,850,1005,2265
1983,87,349,676,2775
1753,113,387,1595,1445
1632,132,706,1623,2614
1949,145,951,1178,356
1696,97,179,772,523
688,131,426,1964,3745
1104,199,653,1413,1229
1122,184,1578,1963,1402
504,172,280,1795,2085
1154,156,251,1801,587
1727,85,1463,1992,2457
1674,89,1432,1649,2030
1948,135,477,571,816
1218,150,1122,1746,1667
531,189,145,1903,2958
1057,154,416,1055,3705
576,162,847,893,2800
1960,165,868,877,3773
673,88,594,1088,2050
718,88,518,830,1754
864,103,663,1805,1904
547,154,371,541,2705
623,102,1749,1781,3537
1793,154,586,722,1370
1720,137,409,646,1222
812,106,35,1309,3102
980,160,1008,1758,2268
643,187,442,1079,2648
1925,175,983,1087,2173
1408,151,875,982,3162
1522,124,952,1191,1368
587,111,244,1361,2746
1959,191,65,1055,619
1872,89,1749,1767,724
1043,111,716,1626,912
1809,123,433,1661,2784
1703,92,134,521,793
1095,197,179,1247,560
1414,137,804,1564,312
1659,88,787,1515,545
1540,197,704,822,1591
1342,86,991,1638,2746
1189,198,379,932,893
518,128,489,710,2514
1449,144,1518,1883,1032
516,91,855,1401,819
1569,111,1261,1383,3672
1312,156,115,1791,3833
1893,179,1203,1432,1482
1076,105,545,1300,2043
530,118,818,1090,1229
1044,129,42,1262,1816
1330,126,1103,1637,2166
1836,104,168,1068,2469
1741,140,719,755,2575
1869,152,163,874,1375
1331,146,1162,1531,1732
1655,105,626,1348,673
605,162,329,656,2301
1245,105,330,1434,2676
1709,136,956,1292,1781
846,123,1140,1983,2248
1403,90,217,1623,921
688,89,271,869,391
775,185,444,1555,1719
1154,159,1003,1827,3262
1375,194,227,772,1947
1827,130,253,1764,2693
1697,90,88,1046,441
741,178,334,594,1886
1672,174,1281,1896,1267
514,186,168,1320,687
1375,105,898,1687,2890
989,124,46,1069,1737
1510,138,118,1170,887
1266,86,1187,1595,398
1396,138,1191,1347,2389
808,161,526,1324,3431
1542,182,346,966,3601
745,102,89,1538,2459
1735,148,137,846,3230
586,188,1226,1389,3646
1341,107,473,574,2200
781,88,368,607,3862
501,174,239,1636,3077
1224,139,622,709,621
1970,80,654,882,2372
618,138,853,1781,2574
1537,158,686,1305,2857
1018,153,992,1433,3143
1545,173,115,1352,3197
1871,144,275,1966,2727
1729,186,461,1178,1519
680,131,1428,1500,2438
1106,107,614,1212,2674
635,97,193,989,2107
618,143,1105,1602,2262
1671,179,398,1263,815
1562,105,480,728,2829
1975,151,775,1607,3022
831,134,1482,1490,2573
1524,174,154,550,2678
1528,129,454,1762,1282
1447,155,737,1455,568
1344,190,419,556,2074
564,130,853,1737,2227
921,83,1211,1229,1080
1413,200,314,1606,2867
831,86,172,1239,1075
802,153,527,734,3063
1923,86,874,1264,2479
1193,196,674,864,2394
904,112,657,1014,2814
1285,140,475,500,2094
1635,182,1209,1411,2315
1923,154,15,525,2519
1851,198,293,1967,735
727,131,813,1377,1891
1396,118,173,1843,1386
877,135,457,652,3260
696,103,533,797,2022
1009,102,912,1043,1716
1526,116,798,1418,3317
987,192,412,565,1454
1414,101,130,887,2290
1732,172,201,656,3940
1587,148,299,874,461
1097,160,1277,1352,2219
504,178,626,1195,470
1159,80,378,751,2495
1910,146,333,639,2944
865,159,805,1804,2361
1930,186,1901,1920,1783
860,170,1573,1581,2832
1268,182,360,912,931
999,167,20,745,1344
622,127,98,511,3916
1250,182,703,1011,1882
763,104,273,1278,2865
1100,112,919,1344,757
815,85,982,1291,3469
618,88,879,896,2399
553,136,1287,1892,3300
673,84,1109,1247,2719
563,115,211,684,3012
1590,187,1058,1109,2836
1031,121,532,1247,2385
909,97,290,773,594
1880,104,890,1019,2968
1479,146,327,645,3762
1271,161,1260,1788,892
709,81,570,1422,467
1744,158,621,1558,345
1314,116,328,1858,3033
1136,150,1307,1767,2110
1039,125,497,618,3105
1300,156,219,1037,874
732,188,1163,1554,3681
511,180,24,759,3865
1092,167,468,571,737
921,170,1272,1469,3153
1030,147,503,551,2800
1130,101,1495,1579,315
1299,187,1333,1838,1412
1009,115,267,1841,2286
1735,140,149,876,2392
1129,185,1070,1079,1857
708,116,206,620,1419
894,123,158,747,3305
530,88,48,1012,959
1481,105,249,522,2635
1068,194,935,1499,1754
1487,84,140,768,2563
1524,96,184,740,1936
1093,196,238,807,1869
1816,186,800,1089,3637
627,142,211,507,896
989,132,670,804,2349
1895,134,725,1335,774
805,168,81,1544,3397
713,181,1211,1378,485
864,148,1362,1378,3964
1177,181,945,1923,1887
582,107,1043,1702,2977
1898,185,444,739,2114
1158,123,311,1796,1542
1451,181,812,1456,3038
1820,163,202,1884,2481
984,140,531,707,841
580,135,404,898,3565
1263,146,954,1609,1958
1237,87,274,603,2454
514,172,956,1723,3392
1515,184,1438,1593,262
721,194,1446,1988,530
603,126,692,1057,3703
1426,109,777,1032,2562
1820,161,1157,1951,574
1215,130,454,1473,2632
697,173,478,1477,259
717,198,217,1106,688
1348,145,468,741,2554
1164,88,1107,1656,3859
578,170,626,1134,2977
1971,186,485,922,571
1794,86,43,627,402
1558,114,322,1385,878
1597,85,880,1145,2130
1240,146,1511,1756,3260
1994,88,667,711,454
1221,152,765,1899,2638
989,156,614,679,2819
1180,144,925,1252,1464
718,113,1185,1387,1824
1670,139,1706,1886,876
534,164,347,1477,2706
1566,126,1603,1930,659
1935,124,806,860,455
504,163,1207,1539,2378
913,103,431,1144,2278
1317,113,179,613,3436
917,88,423,909,3424
712,99,1131,1743,401
1083,126,925,1469,681
1039,136,62,544,3212
1747,185,800,873,3105
1449,105,211,947,2036
1872,139,81,1389,3153
1796,101,667,798,1642
1097,181,405,519,509
1562,172,678,1676,3465
1433,153,1619,1651,3900
740,123,935,1147,1105
676,84,864,1011,2064
503,131,1495,1688,3117
1020,96,870,1613,1142
896,111,1379,1469,1060
1824,143,1055,1738,2381
1512,134,220,1838,3366
1053,126,419,1261,1339
1944,87,1111,1362,2560
1174,91,1097,1461,285
627,131,447,819,2476
1602,118,273,1062,1862
1733,170,590,997,3488
586,142,116,598,3178
1528,156,306,564,733
875,110,300,1316,756
1602,170,1259,1746,3622
1426,174,1573,1694,1277
1370,158,1392,1783,3703
609,81,113,1524,1905
840,178,526,1728,2636
991,158,1209,1678,2014
1724,100,655,828,3056
584,168,1123,1622,465
860,141,692,979,3869
1541,165,796,1052,1108
615,130,1021,1958,1906
912,84,995,1310,851
1278,172,1244,1504,3142
1365,125,293,970,1300
1702,177,1240,1931,1430
589,146,759,1858,362
1347,95,398,1528,2456
1644,137,358,791,2360
956,133,403,1614,3700
1089,153,211,1409,2620
871,178,194,1437,437
664,164,1076,1472,3774
1874,192,1238,1418,1218
1928,162,229,1004,696
888,198,327,1683,3407
1077,86,135,1892,3902
1023,80,5,1744,2086
1426,84,715,1163,1356
831,177,511,621,1704
1496,85,549,1383,3571
1433,129,420,784,2132
1095,103,838,1066,3209
643,156,314,1400,2096
1142,198,739,1766,1273
730,112,62,846,3623
1901,131,3,1662,368
1510,135,963,1520,854
1924,136,1438,1923,3646
1825,157,1621,1773,3130
1275,152,19,501,3784
987,124,887,1274,3885
1538,121,567,986,1494
1965,149,584,676,2973
808,185,496,974,1471
712,86,1245,1309,2001
1507,123,682,888,1486
912,182,724,794,1321
769,95,1384,1454,1877
948,173,257,1654,3499
507,142,17,1084,2124
1384,82,983,1210,1221
1766,194,439,1306,2316
1407,170,925,1206,1068
614,94,409,603,1930
1972,196,293,952,1316
1039,130,384,1878,1742
511,125,149,1285,3265
1811,98,447,568,2700
1159,104,717,1206,2115
1848,178,195,533,3915
1988,94,153,696,3144
1469,150,1699,1850,1571
1423,131,501,640,2253
1974,145,530,1496,1433
835,128,396,1378,2583
1429,151,670,1552,1817
947,144,193,887,2915
1446,178,351,1769,3340
1332,168,846,855,2790
1498,191,111,1167,577
1576,173,1213,1386,3220
1398,150,755,1284,3488
1885,92,1406,1517,1277
798,148,497,627,3593
1436,124,1826,1836,2736
1998,196,50,1356,2311
1321,109,817,941,1464
1021,192,901,1793,1355
1339,123,212,1269,2382
1210,111,329,1039,1886
1949,145,837,1182,832
882,151,248,884,751
1549,113,632,1162,436
1991,82,366,613,722
796,114,174,518,1075
1012,161,882,1195,2802
1318,188,688,1591,1780
1708,197,263,1345,1247
598,117,118,764,3066
541,200,1012,1226,403
818,192,586,1552,2518
1414,168,294,1233,1069
601,169,818,1827,2651
561,99,426,865,2974
1616,100,151,1133,657
1263,103,409,644,3372
1604,93,641,1156,1464
539,86,958,967,1326
1071,199,1328,1970,3393
826,135,354,530,323
771,106,1709,1781,1628
1811,132,1099,1553,2610
1842,179,783,1227,3721
1420,100,194,1393,763
1763,184,238,1893,792
1163,133,919,1076,1568
1805,182,758,891,1276
610,90,1039,1273,3472
1533,160,1054,1393,2520
1924,111,122,686,3423
1801,120,100,1708,258
1726,106,1221,1804,1868
794,197,312,1376,2171
1686,182,599,1073,780
1444,103,1274,1340,712
1004,160,62,581,1012
1242,166,315,1796,318
539,137,1123,1709,3948
717,99,1878,1981,629
1540,157,318,831,1161
672,99,574,1267,1403
1325,133,1353,1915,3707
950,124,86,1681,1305
948,119,340,1728,2926
1328,144,602,1156,2674
1447,184,963,1062,471
1973,95,127,507,1724
1731,171,142,1039,1220
1617,111,274,1079,2754
1791,110,371,682,594
851,101,788,1007,1005
856,115,395,1027,2439
714,145,643,1527,2302
951,81,854,935,1083
1303,109,1335,1873,2219
1550,126,1541,1619,1571
1759,101,382,1163,2107
1448,100,846,1144,593
1987,119,960,1925,857
908,95,154,941,3518
820,160,468,694,1284
904,147,1094,1496,545
667,149,272,870,3566
1109,173,165,1103,2821
1333,183,394,1301,3442
1352,92,629,1299,1309
1600,88,831,1713,1179
1454,80,903,910,1713
1489,169,923,1759,1663
1823,81,362,1250,1812
1581,172,693,850,1384
1672,172,1250,1435,1348
1283,80,1135,1923,3957
630,180,66,1448,1212
659,151,924,1877,3925
1811,115,204,1132,348
688,109,376,1957,1382
514,141,1083,1492,980
1933,154,229,1473,838
915,91,875,1316,378
1006,135,35,991,909
1134,92,18,903,3632
599,186,103,646,3396
973,196,105,588,1861
1180,90,168,540,348
1237,98,18,1004,2528
659,169,659,730,2190
1142,190,534,855,663
1002,185,285,512,961
1392,113,482,1098,1280
602,141,1571,1717,2189
1249,140,605,1193,531
531,121,158,1657,2331
1450,114,1573,1639,794
1342,173,127,620,2644
832,198,343,1431,1666
867,159,289,724,2157
1404,151,1703,1880,1196
840,150,1482,1591,2072
1368,91,907,925,1590
1927,190,491,1506,2916
1714,120,287,627,3707
1201,198,1151,1723,726
1796,184,1024,1363,3577
1147,158,1085,1134,2627
776,146,991,1803,685
510,110,1052,1897,1693
1045,175,1078,1564,2137
1497,153,98,977,3696
1425,89,396,1648,3771
726,94,323,978,1342
1576,148,410,1551,1379
714,197,1750,1857,1164
1595,88,1475,1988,908
541,127,1836,1873,1019
1617,113,283,676,3685
1154,98,539,1240,1470
1638,189,440,563,2299
1150,151,397,800,999
1254,149,204,1021,3011
1806,117,347,727,3142
603,114,1003,1284,1543
1834,99,0,1987,3692
520,145,264,519,2753
565,158,543,703,2156
1689,150,467,675,2637
742,104,875,925,331
1143,125,1116,1724,1214
761,196,1325,1945,2248
959,196,1313,1331,3073
772,134,552,1802,422
1015,102,335,679,2293
1824,103,50,1105,3958
1130,130,593,1327,432
1183,120,268,1010,1152
574,118,382,1364,1303
1472,169,443,892,797
1868,179,576,884,298
1375,147,596,679,3847
881,160,115,636,2110
1742,176,356,1407,1921
1225,107,10,1567,2423
1970,132,1399,1684,1658
1186,160,68,584,2361
1762,157,643,790,1380
1731,163,809,1988,3892
852,160,683,1349,315
848,151,56,527,2289
1575,185,492,818,2182
1554,105,699,1492,2184
1972,92,290,804,2872
827,87,23,826,2367
1063,155,394,849,1919
1695,84,713,1742,3296
1343,81,1063,1205,462
834,123,1421,1463,1591
595,122,623,816,1593
1081,101,83,816,2456
911,199,1563,1692,2933
844,197,777,1995,3154
1335,180,83,559,3615
1883,87,203,915,3563
1128,147,938,1226,1440
826,117,1077,1183,1907
1650,89,773,881,324
1162,104,332,866,1404
1517,169,570,1645,2738
963,156,742,821,2722
1837,103,1420,1539,2294
1028,193,1801,1923,1424
1831,189,1693,1790,1133
571,101,31,1536,555
1770,183,1098,1373,3785
970,84,1765,1786,3675
642,86,887,1775,435
622,193,760,1964,3183
600,199,486,1032,3495
1412,86,2,660,1853
733,138,202,1787,2648
1070,160,90,1614,2647
875,146,469,853,702
1994,189,86,1546,1836
823,182,1180,1350,3894
1908,111,140,1046,2944
790,89,1100,1437,3424
1330,177,194,892,2678
1660,100,440,569,2424
1776,82,1563,1803,2671
1611,199,163,1011,3078
1410,92,192,1311,2304
1772,159,837,1405,1146
1280,108,356,588,2335
1712,155,155,663,1422
1562,140,1032,1776,2096
891,153,40,1435,1303
1957,151,1194,1727,1115
1110,192,1179,1262,456
875,104,902,969,3396
1211,130,58,963,2750
769,112,1385,1780,941
671,95,614,1617,2278
1872,172,672,1088,2273
1076,191,1088,1718,2355
1325,146,499,695,2328
911,182,157,763,2638
1273,178,485,1399,558
1062,124,571,817,1345
1317,154,431,542,425
940,115,499,1090,2192
729,135,563,1055,3397
1494,93,944,1003,1208
1546,124,1138,1491,267
1253,113,161,647,3518
895,164,126,1575,3122
793,124,15,1196,1050
1628,136,500,1713,3358
625,138,203,1771,2929
1110,153,961,1950,624
999,132,608,1970,1598
1856,155,277,1155,2052
1715,120,114,1849,1249
1897,154,630,738,412
1202,122,404,1742,595
1171,167,248,755,263
964,86,225,1234,2577
1973,193,699,851,639
1992,141,649,895,3206
546,159,416,1658,1550
1093,171,1310,1420,1646
1880,200,930,1983,1930
1765,87,835,1175,3695
1640,87,664,1806,3235
1830,191,460,1583,2334
826,187,778,1615,1998
1864,142,225,1545,2258
586,121,785,1118,1869
1206,127,1581,1713,1825
832,165,9,1944,3946
848,103,7,1294,436
1851,112,174,1175,2678
1166,80,437,638,3887
1776,172,278,623,1813
1254,134,1288,1372,817
1494,101,979,1190,3614
984,119,56,1931,2013
1179,154,913,1429,543
513,174,282,710,3400
557,89,322,710,2623
744,105,1252,1963,2700
1129,116,1128,1702,1400
1148,170,606,688,3127
1793,175,655,1459,2803
1310,150,954,970,2518
1604,191,68,1042,3564
1676,145,134,1197,2515
1001,117,922,1836,3654
1086,135,1874,1976,3930
1986,89,251,599,3476
634,192,1362,1853,3242
502,82,281,1159,2666
1641,97,224,1994,1695
623,189,778,844,3510
962,161,546,1424,3438
1057,97,397,891,2033
1862,182,386,1046,1017
555,193,214,1970,1686
1000,135,461,833,862
841,81,125,675,957
865,89,335,1009,3494
999,165,342,1641,3083
1232,131,625,761,1656
1194,165,494,509,313
612,179,1145,1487,3282
1362,186,600,1042,3629
1469,169,484,711,1687
986,182,199,679,1149
1843,104,21,832,3899
1561,134,885,1811,1783
1695,189,308,1208,1629
667,185,1015,1947,2528
1768,88,1303,1814,3256
1269,180,406,1036,2341
1109,151,124,833,2785
936,164,150,1677,3761
1713,199,108,1963,1513
1175,167,90,557,2240
1940,194,588,1809,820
855,159,1028,1196,1875
771,157,776,1247,920
645,174,278,584,3615
1307,88,897,1103,1412
1948,136,651,700,361
1509,81,1010,1684,1540
626,109,737,1759,1077
1190,93,1399,1646,3610
1727,158,376,1288,512
1670,114,1117,1330,3024
1150,134,234,1947,1610
1208,175,691,1028,2201
1812,162,380,1550,3338
770,196,603,1483,3473
1559,114,117,681,2203
1902,155,766,877,940
1751,146,1499,1952,1155
1416,93,1175,1578,3872
1288,115,988,1503,1882
1003,119,190,1905,1798
1715,96,674,1375,2598
1967,199,518,1374,1567
962,125,1618,1916,1491
1487,120,857,989,2003
1569,190,371,665,3905
1146,111,73,583,291
1379,118,98,755,1693
1504,152,395,1853,1788
1945,112,1064,1540,3322
1630,80,712,1726,1751
1125,117,774,939,1641
614,178,1012,1040,2854
854,101,730,1148,3115
1470,121,777,1090,3259
1826,172,973,1633,1612
807,127,245,829,2319
1996,138,937,1083,1258
1083,158,937,1164,1543
1035,178,574,1171,3991
1521,143,678,1630,3555
1314,87,82,512,3411
535,190,398,1775,524
673,142,1096,1570,3541
1219,169,1419,1698,1998
1606,200,157,770,3437
1603,114,430,1207,1637
1958,153,1524,1848,3064
695,196,1649,1829,2855
1441,106,254,954,1393
1470,138,1790,1988,1633
1890,127,1438,1832,2392
1152,82,1304,1673,3284
1619,117,813,1180,464
1002,180,948,1007,1234
742,139,1161,1288,292
1306,174,867,1258,2521
1424,180,181,1199,2658
942,91,754,1532,587
1934,118,242,1127,2190
1290,110,405,742,879
930,80,1569,1763,1743
1699,156,105,1099,1181
1849,181,978,1986,3330
1922,153,725,1882,3564
548,146,657,1657,562
916,82,1147,1393,1659
1783,183,910,1566,1816
1083,156,295,503,1338
1698,131,26,508,2992
1969,85,332,764,315
869,197,519,533,3249
1337,200,161,1029,3242
637,194,1080,1289,2725
833,145,649,1290,586
1248,89,71,1686,2454
1174,147,744,1244,804
1831,148,437,1113,2460
1002,146,115,1111,1295
1010,139,547,957,2625
1117,177,495,1035,1999
990,153,1466,1717,2698
1564,129,117,1115,3742
1065,158,760,1722,1193
1982,129,764,1873,3511
1607,192,776,1005,885
1066,167,53,1504,1044
681,194,371,1702,2548
1163,132,728,818,2940
1285,199,1791,1896,3966
753,121,606,1316,3484
1779,90,1225,1717,1246
987,83,419,736,2757
511,136,367,1264,2378
1044,104,1230,1263,1794
1855,187,267,1161,3933
946,186,273,891,1637
657,110,705,1905,783
1673,182,214,679,3094
731,130,424,1032,1774
926,161,84,793,256
1261,86,605,1429,1365
618,188,1175,1586,2339
936,129,657,938,2049
1485,158,371,1023,3241
1339,80,833,1441,867
508,82,102,1195,2175
1938,121,1299,1935,3497
995,104,258,1889,609
1086,111,56,1150,3285
1322,157,443,708,3684
1864,181,1279,1793,3586
1944,92,313,712,2322
581,180,523,565,354
1020,128,919,1482,3204
1936,139,570,1021,1400
1329,198,380,682,2308
808,105,119,529,1082
994,164,296,839,3104
1811,82,358,614,2847
765,88,1364,1851,2256
993,106,424,1639,1113
1136,150,961,1030,3210
719,113,431,1727,3990
733,105,950,1739,984
1946,123,647,1849,3117
1230,111,1960,1963,1622
1577,105,116,1432,2967
1514,138,306,538,1037
579,89,808,1517,2908
574,126,94,1334,1167
1072,114,380,877,2715
843,119,593,732,1734
1492,85,1684,1746,2259
1807,125,1221,1415,2921
909,146,410,1643,1244
1876,98,600,1211,3132
1436,106,189,1411,2488
1251,133,308,591,1052
636,152,148,742,2927
1354,136,297,918,2090
930,190,1050,1726,2131
1830,117,1191,1882,3362
1424,80,1399,1663,1053
583,88,1658,1794,1799
648,109,1153,1817,3124
1203,109,35,510,1672
1777,100,553,874,1552
1299,83,46,908,1938
1494,129,207,1177,3202
527,128,67,1924,1302
793,179,818,1006,2296
873,152,1257,1411,575
722,93,138,1371,2359
1250,167,11,1020,3314
1358,147,889,1635,440
1035,173,831,1709,2002
1289,161,713,1854,3167
1445,82,527,1393,3480
1702,107,1284,1643,595
534,85,911,1220,2466
628,87,1047,1534,1337
713,98,123,1477,1462
1207,112,406,681,503
683,197,927,1135,2066
594,196,407,528,708
537,103,1041,1430,2029
1565,121,781,1364,308
1052,195,1191,1839,552
713,89,103,1760,2082
1766,141,125,1227,3314
584,199,919,1343,3996
1541,109,536,1656,1795
837,104,638,1831,594
935,155,639,1087,2473
665,185,496,1804,690
680,157,686,1418,3845
877,195,1064,1985,2004
1493,102,240,1414,2083
1762,83,525,704,2661
842,124,348,730,1903
925,196,1262,1520,2466
1692,106,1899,1904,3779
1576,139,258,789,3904
1065,162,1188,1948,265
958,200,730,751,1417
623,197,484,1238,1769
897,171,547,1852,2948
1110,152,800,1455,2572
616,150,347,513,3267
1680,168,679,1231,1459
1715,94,1224,1676,1633
983,130,948,1205,2052
720,165,366,1234,1086
1660,169,223,1777,2402
1564,108,1619,1962,3376
592,103,332,970,1507
969,158,167,909,641
1356,131,782,951,3451
504,189,881,1129,1607
1546,101,91,1317,3521
689,147,487,722,1241
1685,137,120,1429,881
1792,170,1626,1913,2563
1786,123,74,865,3033
1944,132,634,1079,769
1077,131,334,1079,3454
648,195,931,1811,819
1702,185,921,1351,435
1571,150,805,956,586
856,125,1057,1931,650
1786,115,616,912,3038
914,198,740,840,3736
1615,117,542,678,2948
649,190,344,1551,739
1646,200,211,1608,686
1189,164,79,615,841
1043,83,887,893,1183
1920,131,670,1152,3943
1220,109,383,1249,1037
1748,114,718,1109,2633
907,160,144,896,3911
1193,158,1442,1904,1958
1766,122,291,1318,3297
1278,170,1352,1775,3141
1234,174,209,725,3351
1961,100,861,1888,2355
1745,105,426,1629,1308
1442,127,266,642,991
1083,173,523,542,3248
868,137,40,1311,1519
864,88,262,1436,493
1142,114,623,769,1747
608,94,4,1351,2517
983,187,1001,1176,1389
1720,188,334,896,2522
1802,116,453,963,1885
591,196,952,1726,704
1205,163,321,1870,953
1369,108,1451,1469,3206
713,94,1048,1123,928
1082,101,398,724,2177
1719,187,417,520,2610
1544,186,470,844,489
1090,128,1217,1670,3839
1991,181,298,1037,1861
1367,176,36,642,299
1179,182,85,1451,340
721,102,655,1255,3606
1549,91,167,990,799
1349,134,212,623,2367
1799,123,617,1386,445
1075,122,271,1769,3927
684,157,159,1738,3756
1837,162,786,872,770
1619,138,46,562,1641
965,197,645,1275,2343
730,122,1371,1677,2787
1361,169,881,1382,2495
1494,158,449,790,3208
1027,146,338,534,1234
1807,97,1332,1814,1069
709,130,119,1531,3568
689,103,256,823,3585
955,155,428,1254,1974
1872,111,1546,1879,2419
1259,97,1210,1989,340
695,169,789,1211,2282
1969,132,390,756,298
759,162,110,1317,968
936,153,1330,1686,2391
1176,168,674,1455,1534
1802,101,253,590,696
772,97,317,1805,2782
1318,136,183,661,755
591,90,892,1603,3746
569,124,388,605,2651
764,124,52,539,1341
1056,101,914,979,2651
1982,80,287,593,1824
1830,160,773,1353,1905
1122,156,675,1163,1456
1023,153,367,1985,3155
1283,93,510,980,773
1602,99,1325,1800,1829
732,163,1661,1836,3883
1854,195,665,718,1675
718,93,662,997,1601
897,154,0,994,1958
1405,107,284,1036,2376
798,110,661,1951,1647
1035,157,757,1912,3548
1396,134,560,1177,2694
1749,178,470,775,2195
1588,148,146,822,2506
1600,94,1315,1710,2073
1522,162,533,1696,3767
1279,105,560,1633,1150
719,102,405,1141,841
544,129,227,610,1675
1007,185,479,831,1301
590,141,227,509,1817
1788,141,149,1022,2321
748,110,88,709,1974
757,157,114,819,3433
1561,174,662,874,1205
1327,89,441,1721,872
797,81,888,1466,2052
727,193,664,711,3654
686,194,64,745,1503
1515,176,747,1247,3104
555,163,956,1010,343
1589,112,776,1397,3430
1976,136,652,1933,2470
1884,149,1168,1179,1396
1063,86,201,582,2668
672,194,724,1127,1457
635,110,599,1299,2452
1906,113,3,629,1871
1753,191,1652,1983,1112
659,85,190,657,967
1583,148,1171,1673,2498
1783,104,1081,1979,387
1667,138,1211,1396,635
640,143,976,1353,2711
1913,111,675,742,2023
538,163,455,537,2215
1191,89,42,807,824
816,117,1196,1651,3851
915,199,503,986,2156
1157,88,1694,1798,2885
1201,99,306,558,495
1379,129,838,885,2358
1483,169,291,651,1744
1614,161,173,1219,1832
930,144,1017,1289,2016
1454,199,698,1018,1300
1784,164,610,1437,2313
1262,149,223,737,3248
797,144,206,1167,2216
1829,91,1457,1919,3142
1139,161,742,999,1850
618,80,591,724,1424
1547,114,347,957,1620
586,83,241,854,2592
1617,85,743,1426,296
1882,113,4,743,3579
674,198,576,1809,1180
1467,122,888,1099,3962
858,84,528,1416,3978
794,106,1222,1890,668
1965,187,915,1965,2032
1911,108,868,1632,3057
1512,145,336,670,869
510,168,483,754,3919
